"","spScName"
"468","Azima tetracantha"
"469","Azolla pinnata"
"470","Azuragrion nigridorsum"
"471","Bacopa crenata"
"472","Baeopogon indicator"
"473","Baikiaea insignis"
"474","Baikiaea plurijuga"
"475","Baillonella toxisperma"
"476","Bajacalifornia calcarata"
"477","Bajacalifornia megalops"
"478","Balaenoptera borealis"
"479","Balaenoptera edeni"
"480","Balaenoptera musculus"
"481","Balaenoptera physalus"
"482","Balanites aegyptiaca"
"483","Balanites angolensis"
"484","Balanites wilsoniana"
"485","Balearica regulorum"
"486","Balistes capriscus"
"487","Balistes punctatus"
"488","Balistes vetula"
"489","Baphia brachybotrys"
"490","Baphia buettneri"
"491","Baphia letestui"
"492","Baphia marceliana subsp. marquesii"
"493","Baphia massaiensis"
"494","Baphiopsis parviflora"
"495","Barbantus curvifrons"
"496","Barleria brownii"
"497","Barleria calole"
"498","Barleria carruthersiana"
"499","Barleria crabbeoides"
"500","Barleria cyanea"
"501","Barleria deserticola"
"502","Barleria fernandae"
"503","Barleria meeuseana"
"504","Barleria namba"
"505","Barleria obtusisepala"
"506","Barleria rupicola"
"507","Barleria senensis"
"508","Barleria villosa"
"509","Barteria fistulosa"
"510","Barteria nigritana"
"511","Bascanichthys ceciliae"
"512","Bassozetus compressus"
"513","Bassozetus levistomatus"
"514","Bassozetus normalis"
"515","Bathophilus brevis"
"516","Bathophilus digitatus"
"517","Bathophilus longipinnis"
"518","Bathophilus schizochirus"
"519","Bathycongrus bertini"
"520","Bathygadus favosus"
"521","Bathygadus macrops"
"522","Bathygadus melanobranchus"
"523","Bathygobius casamancus"
"524","Bathygobius soporator"
"525","Bathylaco nigricans"
"526","Bathylagoides argyrogaster"
"527","Bathyonus laticeps"
"528","Bathypterois longipes"
"529","Bathypterois phenax"
"530","Bathysolea polli"
"531","Bathysolea profundicola"
"532","Bathyteuthis abyssicola"
"533","Bathytoshia lata"
"534","Bathytroctes michaelsarsi"
"535","Bathytroctes microlepis"
"536","Batis erlangeri"
"537","Batis margaritae"
"538","Batis minulla"
"539","Batis molitor"
"540","Batis pririt"
"541","Batrachoides liberiensis"
"542","Bauhinia galpinii"
"543","Bauhinia tomentosa"
"544","Bauhinia urbaniana"
"545","Belenois aurota"
"546","Belenois calypso"
"547","Belenois creona"
"548","Belenois creona ssp. severina"
"549","Belenois gidica"
"550","Belenois rubrosignata"
"551","Belenois theuszi"
"552","Belenois thysa"
"553","Belenois thysa ssp. thysa"
"554","Bellamya monardi"
