"","spScName"
"673","Cinnyris venustus"
"674","Circaetus beaudouini"
"675","Circaetus cinerascens"
"676","Circaetus cinereus"
"677","Circaetus gallicus"
"678","Circus aeruginosus"
"679","Circus macrourus"
"680","Circus pygargus"
"681","Cissus doeringii"
"682","Cisticola aberrans"
"683","Cisticola brachypterus"
"684","Cisticola cantans"
"685","Cisticola erythrops"
"686","Cisticola eximius"
"687","Cisticola guinea"
"688","Cisticola juncidis"
"689","Cisticola lateralis"
"690","Cisticola marginatus"
"691","Cisticola natalensis"
"692","Cisticola rufus"
"693","Citharichthys stampflii"
"694","Citharinus citharus"
"695","Citharinus latus"
"696","Citrus medica"
"697","Civettictis civetta"
"698","Cladium mariscus"
"699","Clamator glandarius"
"700","Clamator jacobinus"
"701","Clamator levaillantii"
"702","Clarias agboyiensis"
"703","Clarias anguillaris"
"704","Clarias buthupogon"
"705","Clarias camerunensis"
"706","Clarias ebriensis"
"707","Clarias gariepinus"
"708","Clarias macromystax"
"709","Clausena anisata"
"710","Cleistopholis patens"
"711","Cleopatra bulimoides"
"712","Clerodendrum capitatum"
"713","Clitaetra clathrata"
"714","Clypeolum owenianum"
"715","Coelatura aegyptiaca"
"716","Coeliades forestan"
"717","Coeliades forestan ssp. forestan"
"718","Coeliades libeon"
"719","Coeliades pisistratus"
"720","Coelocaryon preussii"
"721","Coelorinchus caelorhincus"
"722","Coelorinchus geronimo"
"723","Coffea ebracteolata"
"724","Coffea liberica"
"725","Coffea togoensis"
"726","Cola acuminata"
"727","Cola gigantea"
"728","Cola gigantea var. glabrescens"
"729","Cola lateritia"
"730","Cola lateritia var. maclaudii"
"731","Cola laurifolia"
"732","Cola nitida"
"733","Coldenia procumbens"
"734","Coleura afra"
"735","Colobus vellerosus"
"736","Coloconger cadenati"
"737","Colotis antevippe"
"738","Colotis celimene"
"739","Colotis euippe"
"740","Colotis evagore"
"741","Colotis evagore ssp. antigone"
"742","Colotis ione"
"743","Colotis vesta"
"744","Columba guinea"
"745","Columba iriditorques"
"746","Combretum aculeatum"
"747","Combretum adenogonium"
"748","Combretum glutinosum"
"749","Combretum micranthum"
"750","Combretum molle"
"751","Combretum nigricans"
"752","Combretum platypterum"
"753","Commelina africana"
"754","Commelina benghalensis"
"755","Commelina diffusa"
"756","Commelina erecta"
"757","Commelina subulata"
"758","Commiphora pedunculata"
"759","Conocara macropterum"
"760","Conocarpus erectus"
"761","Conus ermineus"
"762","Conus genuanus"
"763","Conus pulcher"
"764","Conus tabidus"
"765","Copelatus pulchellus"
"766","Copera sikassoensis"
"767","Coptodon guineensis"
"768","Coptodon zillii"
"769","Coracias abyssinicus"
"770","Coracias cyanogaster"
"771","Coracias garrulus"
"772","Coracias naevius"
"773","Corbicula fluminalis"
"774","Cordia myxa"
